gameID, patch, winningTeam, BlueChampion1, BlueChampion2, BlueChampion3, BlueChampion4, BlueChampion5, RedChampion1, RedChampion2, RedChampion3, RedChampion4, RedChampion5
EUW1_6810034683,14.3.558.8314,Red,MissFortune,Lucian,Lillia,Volibear,Leona,Kayle,Taliyah,Caitlyn,Jayce,Tryndamere
EUW1_6808429551,14.3.558.8314,Red,Kayle,RekSai,Fizz,Twitch,Nami,Maokai,Nidalee,Neeko,Varus,Janna
EUW1_6808416574,14.3.558.8314,Red,Sett,Nocturne,Viktor,MissFortune,Leona,Morgana,XinZhao,Irelia,Ezreal,Brand
EUW1_6809215866,14.3.558.8314,Red,MonkeyKing,RekSai,Neeko,Zeri,Senna,Jax,Shaco,Hwei,Ashe,Nami
EUW1_6809153710,14.3.558.8314,Red,Gragas,Qiyana,Talon,Zeri,Thresh,Gnar,Viego,Riven,Smolder,Karma
EUW1_6809065814,14.3.558.8314,Red,Gwen,Taric,Garen,Jhin,Ashe,KSante,Shaco,Kassadin,Jinx,Janna
EUW1_6809011755,14.3.558.8314,Red,Gragas,Briar,Yone,TwistedFate,Pyke,Gangplank,Kindred,Sylas,Xayah,Nautilus
EUW1_6808955654,14.3.558.8314,Red,Malphite,Kayn,Kaisa,Akali,Braum,Aatrox,Skarner,Talon,Jinx,Maokai
EUW1_6811082549,14.3.558.8314,Red,Zac,Ekko,LeeSin,Ezreal,Rammus,MasterYi,Khazix,Akali,Jhin,Thresh
EUW1_6811052209,14.3.558.8314,Red,Kayle,Evelynn,Tristana,Kaisa,Blitzcrank,Darius,Lillia,Jayce,Ezreal,Maokai
EUW1_6810948432,14.3.558.8314,Red,Aatrox,Nocturne,Hwei,Smolder,Milio,Darius,LeeSin,Ahri,Ezreal,Karma
EUW1_6810638973,14.3.558.8314,Red,Garen,Hecarim,Hwei,Senna,Maokai,Renekton,Vi,Qiyana,Ziggs,Janna
EUW1_6810588973,14.3.558.8314,Red,Zilean,XinZhao,Syndra,Jinx,Milio,Chogath,LeeSin,Hwei,Varus,Maokai
EUW1_6811175046,14.3.558.8314,Red,Yone,Kayn,Chogath,Varus,Pyke,Urgot,Kindred,Taliyah,Kalista,Morgana
