teamBlue,teamRed,patch,winner,Blue_champion_1,Red_champion_1,Blue_champion_2,Red_champion_2,Blue_champion_3,Red_champion_3,Blue_champion_4,Red_champion_4,Blue_champion_5,Red_champion_5
Barça eSports,Rebels Gaming,14.02,Red,Rumble,K'Sante,Vi,Maokai,Azir,Corki,Xayah,Varus,Rakan,Nautilus
Isurus,Six Karma,14.02,Blue,Gnar,Jax,Brand,Maokai,Tristana,Orianna,Ashe,Varus,Rell,Nautilus
Venomcrest Esports,NORD Esports,14.02,Blue,K'Sante,Udyr,Lillia,Xin Zhao,Ezreal,Hwei,Tahm Kench,Varus,Senna,Nautilus
Movistar R7,Estral Esports,14.02,Blue,K'Sante,Udyr,Maokai,Jarvan IV,Tristana,Hwei,Caitlyn,Kalista,Senna,Varus
Geekay Esports,One More Esports,14.02,Blue,K'Sante,Gnar,Brand,Kindred,Azir,Orianna,Senna,Ezreal,Nautilus,Alistar
Case Esports,ZETA,14.02,Blue,K'Sante,Gwen,Ivern,Xin Zhao,Azir,Corki,Ashe,Xayah,Maokai,Rakan
Atleta Esport,EKO Academy,14.02,Blue,Rumble,Udyr,Jarvan IV,Maokai,Azir,Hwei,Varus,Kalista,Nautilus,Renata Glasc
Los Heretics,Guasones,14.02,Blue,Aatrox,K'Sante,Rell,Viego,Orianna,Neeko,Kalista,Miss Fortune,Maokai,Alistar
Twisted Minds,Nigma Galaxy Male,14.02,Red,K'Sante,Aatrox,Sejuani,Maokai,Azir,Corki,Varus,Kalista,Renata Glasc,Blitzcrank
aNc Outplayed,ENEMI3S,14.02,Blue,Zac,Volibear,Rell,Nocturne,Corki,Orianna,Varus,Nautilus,Rakan,Senna
Rebels Gaming,UCAM Esports,14.02,Red,Karma,Rumble,Xin Zhao,Vi,Corki,Hwei,Ezreal,Draven,Leona,Rell
INFINITY,Isurus,14.02,Blue,K'Sante,Aatrox,Vi,Lee Sin,Azir,LeBlanc,Varus,Senna,Rakan,Maokai
Isurus,INFINITY,14.02,Blue,Rumble,K'Sante,Viego,Jarvan IV,Sylas,Galio,Varus,Ashe,Nautilus,Heimerdinger
BRUTE,Team UNiTY,14.02,Blue,K'Sante,Malphite,Brand,Vi,Akali,Hwei,Varus,Yasuo,Bard,Senna
Entropiq,eSuba,14.02,Blue,Gnar,K'Sante,Poppy,Viego,Azir,Hwei,Varus,Ezreal,Nautilus,Braum
Europe Saviors Club,OGC Sigma Esports,14.02,Blue,K'Sante,Aatrox,Maokai,Rell,Azir,Corki,Ezreal,Lucian,Bard,Milio
Dynamo Eclot,GLORE,14.02,Red,K'Sante,Gnar,Lee Sin,Lillia,LeBlanc,Tristana,Varus,Ezreal,Rell,Rakan
GnG Amazigh,Twisted Minds,14.02,Red,Gnar,Aatrox,Xin Zhao,Vi,Sylas,Taliyah,Varus,Xayah,Nautilus,Rakan
Burning Core Toyama,DetonatioN FocusMe,14.02,Red,K'Sante,Gwen,Lee Sin,Nocturne,LeBlanc,Orianna,Aphelios,Lucian,Milio,Nami
DetonatioN FocusMe,Burning Core Toyama,14.02,Blue,Aatrox,K'Sante,Poppy,Nautilus,Orianna,Syndra,Jinx,Aphelios,Tahm Kench,Braum
Fukuoka SoftBank HAWKS gaming,V3 Esports,14.02,Blue,Akali,Rumble,Maokai,Vi,Tristana,Jayce,Xayah,Kalista,Rakan,Renata Glasc
mCon esports,SNOOZE Esports,14.02,Blue,Irelia,Aatrox,Rell,Jarvan IV,Karma,Azir,Miss Fortune,Jhin,Bard,Rakan
RA'AD,Anubis Gaming,14.02,Red,K'Sante,Yone,Xin Zhao,Trundle,Azir,Akali,Miss Fortune,Senna,Ashe,Maokai
DREN Esports,Dsyre Esports,14.02,Red,Kennen,Aatrox,Nocturne,Rell,Orianna,Hwei,Varus,Ezreal,Nautilus,Alistar
One Way Esports,Dynasty,14.02,Blue,Aatrox,Darius,Jax,Xin Zhao,Hwei,Akali,Kalista,Lucian,Nautilus,Milio
Fox Gaming,GnG Amazigh,14.02,Red,K'Sante,Gwen,Rell,Maokai,Azir,Yone,Varus,Xayah,Nautilus,Rakan
Macko Esports,Axolotl,14.02,Blue,Rumble,Olaf,Xin Zhao,Rell,Karma,Neeko,Caitlyn,Jhin,Ashe,Varus
Ramboot Club,GIANTX Pride,14.02,Red,Rumble,K'Sante,Viego,Vi,Syndra,Orianna,Xayah,Aphelios,Rell,Maokai
Myth Esports,ZennIT,14.02,Blue,K'Sante,Garen,Brand,Xin Zhao,Yasuo,Orianna,Ashe,Kai'Sa,Maokai,Rell
INFINITY,Isurus,14.02,Red,Gnar,Aatrox,Vi,Viego,Corki,Akali,Varus,Xayah,Nautilus,Rakan
Leviatan,All Knights,14.02,Blue,Jax,Aatrox,Rell,Sejuani,Orianna,Azir,Kalista,Lucian,Renata Glasc,Milio
All Knights,Leviatan,14.02,Blue,Gnar,Jax,Zac,Vi,Azir,Orianna,Lucian,Varus,Nami,Renata Glasc
Leviatan,All Knights,14.02,Red,Akali,Jax,Poppy,Lillia,Orianna,Neeko,Draven,Kalista,Nautilus,Rell
Nigma Galaxy Male,RA'AD,14.02,Blue,Rumble,K'Sante,Brand,Maokai,Tristana,Syndra,Kalista,Varus,Nautilus,Rell
One More Esports,Fox Gaming,14.02,Red,Sion,Gwen,Viego,Rumble,Ryze,LeBlanc,Kai'Sa,Xayah,Maokai,Nautilus
Axolotl,Dsyre Esports,14.02,Red,Jax,Gnar,Maokai,Rell,Orianna,Hwei,Ezreal,Varus,Ashe,Nautilus
Macko Esports,Atleta Esport,14.02,Red,Garen,K'Sante,Xin Zhao,Jax,Karma,Annie,Senna,Varus,Maokai,Blitzcrank
Anubis Gaming,Geekay Esports,14.02,Red,K'Sante,Zac,Rell,Brand,Azir,Irelia,Varus,Senna,Ashe,Ornn
EKO Academy,aNc Outplayed,14.02,Red,Darius,K'Sante,Jax,Xin Zhao,Hwei,Karma,Ezreal,Varus,Rell,Rakan
DREN Esports,ENEMI3S,14.02,Red,Zac,Darius,Viego,Rell,Akali,Azir,Varus,Lucian,Rakan,Milio
AXIZ CREST,Sengoku Gaming,14.02,Blue,K'Sante,Gnar,Sejuani,Rell,Azir,Taliyah,Senna,Ezreal,Nautilus,Hwei
Sengoku Gaming,AXIZ CREST,14.02,Blue,Aatrox,K'Sante,Rell,Sejuani,Azir,Hwei,Caitlyn,Ezreal,Lux,Blitzcrank
V3 Esports,Fukuoka SoftBank HAWKS gaming,14.02,Red,Aatrox,Rumble,Maokai,Jarvan IV,Azir,Sylas,Varus,Senna,Nautilus,Tahm Kench
Fluxo,paiN Gaming,14.02,Red,Aatrox,K'Sante,Sejuani,Maokai,Azir,Orianna,Kalista,Caitlyn,Rell,Renata Glasc
LOUD,RED Canids,14.02,Blue,Jax,Aatrox,Maokai,Vi,LeBlanc,Lissandra,Lucian,Caitlyn,Nami,Milio
KaBuM! Esports,INTZ,14.02,Blue,Rumble,Olaf,Trundle,Sejuani,Taliyah,Azir,Varus,Ezreal,Maokai,Rell
KT Rolster Challengers,OKSavingsBank BRION Challengers,14.01,Blue,Aatrox,Yone,Vi,Lee Sin,Akali,Twisted Fate,Varus,Lucian,Nautilus,Milio
Hanwha Life Esports Challengers,Dplus KIA Challengers,14.01,Blue,K'Sante,Gwen,Poppy,Lee Sin,Azir,Akali,Jhin,Varus,Alistar,Rakan
Dplus KIA Challengers,Hanwha Life Esports Challengers,14.01,Blue,Rumble,K'Sante,Poppy,Sejuani,Azir,Akali,Xayah,Varus,Rakan,Blitzcrank
Hanwha Life Esports Challengers,Dplus KIA Challengers,14.01,Blue,K'Sante,Rumble,Jax,Xin Zhao,Azir,Corki,Varus,Lucian,Nautilus,Milio
OKSavingsBank BRION Challengers,KT Rolster Challengers,14.01,Red,Gnar,K'Sante,Poppy,Lee Sin,Neeko,Syndra,Jhin,Caitlyn,Ashe,Bard
DRX,Nongshim RedForce,14.01,Red,Jax,Udyr,Xin Zhao,Vi,Akali,Taliyah,Lucian,Aphelios,Nami,Milio
T1,Gen.G,14.01,Red,Udyr,K'Sante,Lee Sin,Maokai,Azir,Tristana,Nilah,Varus,Senna,Rakan
T1,Gen.G,14.01,Red,Kennen,Udyr,Bel'Veth,Maokai,Azir,Yone,Jhin,Varus,Bard,Rakan
NNO Prime,SK Gaming Prime,14.01,Red,Gragas,Jax,Vi,Jarvan IV,Azir,Corki,Varus,Lucian,Caitlyn,Milio
Ramboot Club,Rebels Gaming,14.01,Blue,Renekton,Aatrox,Bel'Veth,Rell,Neeko,Orianna,Ziggs,Varus,Nautilus,Braum
UCAM Tokiers,Guasones,14.01,Blue,Kennen,K'Sante,Nocturne,Rell,LeBlanc,Azir,Kalista,Draven,Renata Glasc,Senna
ZETA,Movistar KOI,14.01,Red,Kennen,Jax,Nocturne,Xin Zhao,Azir,Orianna,Jhin,Varus,Blitzcrank,Rell
Gen.G Global Academy,DRX Challengers,14.01,Red,Udyr,K'Sante,Maokai,Sejuani,Tristana,Azir,Zeri,Xayah,Rakan,Senna
OKSavingsBank BRION Challengers,FearX Youth,14.01,Blue,Gwen,K'Sante,Vi,Brand,Tristana,LeBlanc,Lucian,Aphelios,Nami,Milio
DRX Challengers,Gen.G Global Academy,14.01,Blue,K'Sante,Udyr,Sejuani,Poppy,Azir,Yone,Xayah,Aphelios,Pyke,Rell
OKSavingsBank BRION,Dplus KIA,14.01,Red,Jax,Gragas,Lee Sin,Vi,Azir,Neeko,Kalista,Xayah,Renata Glasc,Rakan
OKSavingsBank BRION,Dplus KIA,14.01,Red,Jax,Poppy,Sejuani,Vi,Azir,Sylas,Ezreal,Xayah,Bard,Rakan
Eintracht Spandau,SK Gaming Prime,14.01,Red,Rumble,K'Sante,Trundle,Xin Zhao,Syndra,Neeko,Kalista,Varus,Bard,Rakan
DRX,Nongshim RedForce,14.01,Red,Udyr,Gnar,Poppy,Jax,Orianna,Azir,Lucian,Aphelios,Nami,Milio
Gen.G,T1,14.01,Red,K'Sante,Gwen,Rell,Jarvan IV,Corki,Neeko,Aphelios,Lucian,Lulu,Milio
Barça eSports,Case Esports,14.01,Red,K'Sante,Malphite,Vi,Xin Zhao,Orianna,Neeko,Varus,Kalista,Alistar,Blitzcrank
Los Heretics,GIANTX Pride,14.01,Blue,K'Sante,Shen,Rell,Xin Zhao,Akali,Orianna,Draven,Kalista,Neeko,Renata Glasc
FearX Youth,OKSavingsBank BRION Challengers,14.01,Red,K'Sante,Gnar,Viego,Nocturne,Azir,Orianna,Xayah,Kai'Sa,Renata Glasc,Rell
Gen.G Global Academy,DRX Challengers,14.01,Blue,K'Sante,Udyr,Vi,Lee Sin,Cassiopeia,Tristana,Varus,Ziggs,Ashe,Leona
KT Rolster,FearX,14.01,Blue,Udyr,Rumble,Lee Sin,Xin Zhao,Orianna,Azir,Ezreal,Varus,Hwei,Renata Glasc
FearX,KT Rolster,14.01,Red,Udyr,K'Sante,Viego,Xin Zhao,Syndra,Taliyah,Draven,Kalista,Renata Glasc,Hwei
Ramboot Club,ZETA,14.01,Blue,K'Sante,Gwen,Xin Zhao,Lee Sin,Orianna,Neeko,Jinx,Varus,Rell,Ashe
Movistar KOI,Guasones,14.01,Blue,K'Sante,Malphite,Xin Zhao,Jax,Corki,Azir,Ashe,Varus,Nautilus,Rakan
E WIE EINFACH E-SPORTS,NNO Prime,14.01,Red,K'Sante,Jax,Xin Zhao,Lee Sin,Akali,Orianna,Sion,Varus,Senna,Ashe
Unicorns of Love Sexy Edition,Berlin International Gaming,14.01,Blue,K'Sante,Gwen,Wukong,Xin Zhao,Azir,Orianna,Kalista,Aphelios,Soraka,Renata Glasc
Case Esports,Los Heretics,14.01,Red,K'Sante,Volibear,Xin Zhao,Trundle,Ahri,Orianna,Aphelios,Kalista,Rakan,Renata Glasc
Eintracht Frankfurt,MOUZ NXT,14.01,Blue,Aatrox,K'Sante,Jax,Xin Zhao,Corki,Xerath,Varus,Aphelios,Heimerdinger,Rell
Austrian Force willhaben,FC Schalke 04 Esports,14.01,Blue,Aatrox,Gnar,Xin Zhao,Trundle,Orianna,Aurelion Sol,Ashe,Caitlyn,Blitzcrank,Neeko
T1 Esports Academy,Dplus KIA Challengers,14.01,Red,K'Sante,Gwen,Poppy,Lee Sin,Orianna,Neeko,Aphelios,Xayah,Renata Glasc,Rakan
Hanwha Life Esports,DRX,14.01,Blue,K'Sante,Rumble,Rell,Maokai,Yone,Tristana,Lucian,Aphelios,Nami,Lulu
Beyond Gaming,CTBC Flying Oyster,14.01,Blue,K'Sante,Udyr,Sejuani,Bel'Veth,Azir,LeBlanc,Lucian,Varus,Milio,Zyra
Hanwha Life Esports,DRX,14.01,Blue,Aatrox,Gwen,Zac,Maokai,Azir,Tristana,Kalista,Varus,Renata Glasc,Senna
Beyond Gaming,CTBC Flying Oyster,14.01,Red,Jax,K'Sante,Vi,Rell,Azir,Sylas,Zeri,Lucian,Lulu,Milio
West Point Esports,Deep Cross Gaming,14.01,Red,Aatrox,Akali,Xin Zhao,Vi,Ryze,Hwei,Kalista,Lucian,Renata Glasc,Milio
Deep Cross Gaming,West Point Esports,14.01,Blue,Mordekaiser,Irelia,Vi,Viego,Azir,Orianna,Lucian,Caitlyn,Milio,Lux
GIANTX Pride,Rebels Gaming,14.01,Red,Poppy,K'Sante,Rell,Xin Zhao,Azir,Orianna,Aphelios,Varus,Rakan,Nautilus
UCAM Esports,Barça eSports,14.01,Blue,Gwen,Akali,Trundle,Xin Zhao,LeBlanc,Azir,Kalista,Varus,Rell,Nautilus
T1 Esports Academy,Dplus KIA Challengers,14.01,Blue,Rumble,Aatrox,Lee Sin,Nocturne,Orianna,Akali,Tahm Kench,Lucian,Senna,Milio
Dplus KIA Challengers,T1 Esports Academy,14.01,Blue,Rumble,K'Sante,Rell,Nocturne,Syndra,Orianna,Aphelios,Kalista,Milio,Renata Glasc
T1,Kwangdong Freecs,14.01,Blue,Yone,Aatrox,Rell,Sejuani,Orianna,Hwei,Lucian,Varus,Milio,Lulu
Beyond Gaming,CTBC Flying Oyster,14.01,Blue,Rumble,Udyr,Viego,Rell,Neeko,LeBlanc,Xayah,Ezreal,Rakan,Bard
T1,Kwangdong Freecs,14.01,Blue,Ornn,Rumble,Jarvan IV,Vi,Corki,LeBlanc,Lucian,Varus,Nami,Milio
Nongshim RedForce,Gen.G,14.01,Red,Udyr,Darius,Trundle,Sejuani,Azir,Taliyah,Lucian,Aphelios,Nami,Milio
Burning Core Toyama,Sengoku Gaming,14.01,Blue,K'Sante,Aatrox,Lee Sin,Xin Zhao,Azir,Orianna,Jhin,Varus,Rakan,Rell
Gen.G,Nongshim RedForce,14.01,Blue,Olaf,Udyr,Rell,Maokai,Taliyah,Tristana,Lucian,Aphelios,Milio,Lulu
J Team,Frank Esports,14.01,Red,K'Sante,Jax,Nocturne,Rell,Orianna,Akali,Xayah,Varus,Rakan,Tahm Kench
Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,14.01,Red,K'Sante,Gwen,Rell,Lee Sin,Orianna,Neeko,Xayah,Lucian,Rakan,Milio
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,14.01,Blue,Jax,K'Sante,Poppy,Rell,Azir,Taliyah,Varus,Xayah,Renata Glasc,Rakan
AXIZ CREST,V3 Esports,14.01,Red,K'Sante,Kayle,Sejuani,Maokai,Azir,Tristana,Varus,Kalista,Renata Glasc,Nautilus
Hanwha Life Esports,Kwangdong Freecs,14.01,Blue,K'Sante,Aatrox,Maokai,Viego,Azir,Corki,Kai'Sa,Ezreal,Rakan,Karma
Dplus KIA,KT Rolster,14.01,Blue,Aatrox,K'Sante,Maokai,Ivern,Syndra,Tristana,Xayah,Kalista,Rakan,Renata Glasc
Beyond Gaming,West Point Esports,14.01,Blue,Rumble,Akali,Bel'Veth,Vi,Neeko,Orianna,Kalista,Varus,Renata Glasc,Senna
Beyond Gaming,West Point Esports,14.01,Blue,Ornn,Sylas,Vi,Wukong,Azir,Orianna,Kalista,Varus,Renata Glasc,Zyra
CTBC Flying Oyster,Deep Cross Gaming,14.01,Blue,Rumble,K'Sante,Jarvan IV,Sejuani,Azir,Yone,Lucian,Aphelios,Nami,Milio
V3 Esports,Fukuoka SoftBank HAWKS gaming,14.01,Red,Rumble,K'Sante,Vi,Sejuani,Orianna,Azir,Draven,Lucian,Nautilus,Milio
Team Bliss,MAMMOTH,14.01,Blue,Renekton,Gwen,Vi,Wukong,LeBlanc,K'Sante,Varus,Lucian,Nautilus,Nami
Nongshim Esports Academy,DRX Challengers,14.01,Blue,Jax,Aatrox,Maokai,Sejuani,Azir,Corki,Zeri,Lucian,Yuumi,Milio
OKSavingsBank BRION,FearX,14.01,Red,Gwen,K'Sante,Xin Zhao,Brand,Azir,Yone,Zeri,Xayah,Lulu,Rakan
FearX,OKSavingsBank BRION,14.01,Blue,Udyr,Renekton,Wukong,Lee Sin,Azir,Orianna,Varus,Ezreal,Nautilus,Bard
Frank Esports,J Team,14.01,Blue,K'Sante,Gragas,Rell,Nocturne,Orianna,Azir,Aphelios,Lucian,Nautilus,Milio
Sengoku Gaming,Burning Core Toyama,14.01,Blue,Aatrox,Sion,Lee Sin,Vi,Neeko,Azir,Varus,Jhin,Rakan,Rell
V3 Esports,AXIZ CREST,14.01,Blue,Vladimir,K'Sante,Vi,Jarvan IV,Orianna,Azir,Miss Fortune,Varus,Rell,Alistar
Hanwha Life Esports,Kwangdong Freecs,14.01,Blue,Aatrox,Jax,Maokai,Rell,Azir,Corki,Zeri,Ashe,Rakan,Milio
AXIZ CREST,Sengoku Gaming,14.01,Red,Aatrox,K'Sante,Rell,Viego,Azir,Hwei,Aphelios,Xayah,Milio,Rakan
KT Rolster,Dplus KIA,14.01,Blue,Udyr,Rumble,Xin Zhao,Vi,Azir,Akali,Aphelios,Lucian,Milio,Nami
Sengoku Gaming,AXIZ CREST,14.01,Blue,Aatrox,Gnar,Poppy,Sejuani,Azir,Akali,Varus,Lucian,Renata Glasc,Milio
Dplus KIA,KT Rolster,14.01,Red,K'Sante,Gnar,Sejuani,Vi,Orianna,Syndra,Zeri,Lucian,Yuumi,Milio
CTBC Flying Oyster,Deep Cross Gaming,14.01,Blue,Rumble,K'Sante,Lee Sin,Sejuani,Azir,Akali,Lucian,Aphelios,Nami,Milio
DetonatioN FocusMe,Burning Core Toyama,14.01,Blue,Jax,Gragas,Maokai,Ivern,Azir,Tristana,Senna,Varus,Lee Sin,Renata Glasc
Burning Core Toyama,DetonatioN FocusMe,14.01,Red,Udyr,Darius,Graves,Vi,Azir,Orianna,Lucian,Varus,Milio,Rell
Fukuoka SoftBank HAWKS gaming,V3 Esports,14.01,Blue,Rumble,Ryze,Vi,Xin Zhao,Viktor,LeBlanc,Jhin,Varus,Neeko,Rakan
MAMMOTH,Team Bliss,14.01,Red,Gwen,K'Sante,Trundle,Xin Zhao,Orianna,Akali,Varus,Seraphine,Karma,Senna
DRX Challengers,Nongshim Esports Academy,14.01,Blue,K'Sante,Olaf,Nocturne,Sejuani,Orianna,Taliyah,Kalista,Xayah,Bard,Rakan
Nongshim Esports Academy,DRX Challengers,14.01,Blue,K'Sante,Gnar,Xin Zhao,Sejuani,Azir,Corki,Lucian,Aphelios,Nami,Milio
OKSavingsBank BRION Challengers,Gen.G Global Academy,14.01,Red,Udyr,K'Sante,Xin Zhao,Rell,Akali,Neeko,Aphelios,Lucian,Lulu,Milio
Ground Zero Gaming,Antic Esports,14.01,Red,Rumble,Udyr,Xin Zhao,Jarvan IV,Ahri,LeBlanc,Varus,Xayah,Renata Glasc,Rakan
Gen.G Global Academy,OKSavingsBank BRION Challengers,14.01,Red,Udyr,Kennen,Sejuani,Maokai,Yone,Tristana,Lucian,Senna,Milio,Nautilus
BRUTE,Europe Saviors Club,14.01,Blue,Volibear,Udyr,Graves,Xin Zhao,Orianna,Xerath,Varus,Ezreal,Ashe,Karma
Team Mythic,Team Refuse,14.01,Blue,Gnar,Aatrox,Rell,Vi,Galio,Orianna,Aphelios,Kalista,Milio,Renata Glasc
Team Phantasma,Zerolag Esports,14.01,Blue,Jax,K'Sante,Sejuani,Viego,Orianna,Syndra,Kalista,Aphelios,Nautilus,Braum
OGC Sigma Esports,eSuba,14.01,Red,Aatrox,Jax,Sejuani,Vi,Neeko,Azir,Jhin,Senna,Karma,Seraphine
WLGaming Esports,Anorthosis Famagusta Esports,14.01,Red,Sion,Ornn,Xin Zhao,Nocturne,Orianna,Neeko,Ashe,Jinx,Braum,Rell
Dynasty,mCon esports,14.01,Red,Zac,Yone,Jarvan IV,Ivern,Azir,Corki,Varus,Jhin,Ashe,Pyke
Dplus KIA Challengers,KT Rolster Challengers,14.01,Blue,Udyr,K'Sante,Sejuani,Xin Zhao,Yone,Neeko,Xayah,Kalista,Rakan,Rell
FURY Global,Kanga Esports,14.01,Blue,K'Sante,Ornn,Xin Zhao,Wukong,Corki,Azir,Senna,Kalista,Seraphine,Renata Glasc
Kanga Esports,FURY Global,14.01,Red,Gnar,K'Sante,Graves,Xin Zhao,LeBlanc,Sylas,Varus,Xayah,Renata Glasc,Milio
Antic Esports,Ground Zero Gaming,14.01,Blue,Udyr,Gnar,Poppy,Rell,Tristana,Corki,Seraphine,Nilah,Bard,Sona
OKSavingsBank BRION Challengers,Gen.G Global Academy,14.01,Blue,Aatrox,Yone,Sejuani,Maokai,Orianna,Akali,Senna,Xayah,Ornn,Rakan
GLORE,Team UNiTY,14.01,Blue,Rumble,Ornn,Nocturne,Viego,Orianna,Ahri,Varus,Xayah,Rell,Taric
Dynamo Eclot,Entropiq,14.01,Red,K'Sante,Jax,Vi,Jarvan IV,Tristana,Azir,Seraphine,Aphelios,Senna,Rell
Once Upon A Team,Team 7AM,14.01,Red,Aatrox,Olaf,Rell,Xin Zhao,Syndra,Orianna,Varus,Lucian,Nautilus,Milio
Gamespace Mediterranean College Esports,Wild Panthers Esports,14.01,Blue,Rumble,Sion,Maokai,Xin Zhao,Tristana,Syndra,Aphelios,Lucian,Milio,Nami
A One Man Army,ZennIT,14.01,Blue,Yone,K'Sante,Vi,Bel'Veth,Corki,Azir,Varus,Aphelios,Rakan,Nautilus
SNOOZE Esports,Myth Esports,14.01,Red,Gwen,K'Sante,Viego,Xin Zhao,Azir,Corki,Ashe,Senna,Nautilus,Seraphine
FearX,Hanwha Life Esports,14.01,Red,Gnar,Udyr,Viego,Poppy,Azir,Corki,Senna,Lucian,Nautilus,Nami
Hanwha Life Esports,FearX,14.01,Blue,Rumble,Udyr,Maokai,Lee Sin,Tristana,Azir,Lucian,Kalista,Milio,Renata Glasc
KT Rolster,Kwangdong Freecs,14.01,Blue,Udyr,Rumble,Vi,Viego,Orianna,Azir,Senna,Aphelios,Ornn,Tahm Kench
KT Rolster,Kwangdong Freecs,14.01,Red,Udyr,Rumble,Nocturne,Vi,Orianna,Azir,Caitlyn,Jhin,Hwei,Senna
KT Rolster,Kwangdong Freecs,14.01,Red,Jax,K'Sante,Maokai,Lee Sin,Azir,Corki,Draven,Kalista,Pyke,Renata Glasc
Ramboot Club,Barça eSports,14.01,Blue,Rumble,Udyr,Bel'Veth,Vi,Neeko,Ahri,Sivir,Xayah,Renata Glasc,Rakan
NORD Esports,Nativz,14.01,Blue,Rumble,K'Sante,Brand,Jarvan IV,Jayce,Syndra,Jhin,Varus,Nautilus,Rell
Gamespace Mediterranean College Esports,Anorthosis Famagusta Esports,14.01,Red,Gnar,K'Sante,Maokai,Vi,Corki,Sylas,Varus,Jhin,Nautilus,Ashe
Team Phantasma,WLGaming Esports,14.01,Red,Yone,Sion,Trundle,Maokai,Azir,Tristana,Kalista,Miss Fortune,Rell,Renata Glasc
UCAM Esports,Case Esports,14.01,Red,Kled,Rumble,Nocturne,Wukong,Orianna,Neeko,Seraphine,Ashe,Rakan,Nautilus
Dplus KIA,Nongshim RedForce,14.01,Blue,Aatrox,Jax,Rell,Wukong,LeBlanc,Orianna,Lucian,Aphelios,Nami,Milio
Nongshim RedForce,Dplus KIA,14.01,Red,Jax,Aatrox,Maokai,Rell,Taliyah,Kassadin,Senna,Lucian,Seraphine,Milio
PSG Talon,J Team,14.01,Blue,Udyr,Olaf,Nocturne,Wukong,Azir,Orianna,Lucian,Varus,Milio,Nautilus
PSG Talon,J Team,14.01,Blue,Udyr,K'Sante,Nocturne,Wukong,Neeko,Orianna,Caitlyn,Varus,Bard,Alistar
OKSavingsBank BRION,Gen.G,14.01,Red,Aatrox,K'Sante,Graves,Brand,Azir,Corki,Seraphine,Aphelios,Senna,Nautilus
Frank Esports,HELL PIGS,14.01,Blue,K'Sante,Udyr,Rell,Nocturne,Azir,Orianna,Xayah,Varus,Nautilus,Rakan
Team Mythic,Wild Panthers Esports,14.01,Red,Aatrox,Renekton,Xin Zhao,Rell,Orianna,Akali,Varus,Ashe,Nautilus,Renata Glasc
Los Heretics,ZETA,14.01,Blue,Renekton,K'Sante,Rell,Poppy,Azir,Corki,Lucian,Varus,Milio,Renata Glasc
Zerolag Esports,Team Refuse,14.01,Red,Ornn,Sion,Xin Zhao,Graves,Akali,LeBlanc,Ashe,Varus,Renata Glasc,Rell
GIANTX Pride,Guasones,14.01,Red,K'Sante,Gwen,Lee Sin,Wukong,Azir,Orianna,Samira,Varus,Rell,Braum
SK Gaming Prime,Unicorns of Love Sexy Edition,14.01,Red,Jax,K'Sante,Xin Zhao,Maokai,Corki,Azir,Varus,Ashe,Rakan,Blitzcrank
Movistar KOI,Rebels Gaming,14.01,Blue,Gnar,K'Sante,Poppy,Sejuani,Azir,Sylas,Varus,Lucian,Nautilus,Milio
OKSavingsBank BRION,Gen.G,14.01,Red,K'Sante,Udyr,Lee Sin,Maokai,Azir,Jayce,Lucian,Aphelios,Nami,Milio
Frank Esports,HELL PIGS,14.01,Blue,Jax,Udyr,Lee Sin,Viego,Neeko,LeBlanc,Kai'Sa,Varus,Nautilus,Alistar
Guasones,Case Esports,14.01,Blue,K'Sante,Yone,Wukong,Maokai,Syndra,Azir,Ashe,Kalista,Milio,Blitzcrank
ZETA,Rebels Gaming,14.01,Blue,K'Sante,Gnar,Rell,Xin Zhao,Azir,Neeko,Xayah,Aphelios,Rakan,Renata Glasc
Los Heretics,Ramboot Club,14.01,Blue,Gnar,Renekton,Maokai,Evelynn,Azir,Tristana,Lucian,Jinx,Milio,Rell
Movistar KOI,UCAM Esports,14.01,Blue,K'Sante,Garen,Poppy,Xin Zhao,Azir,Corki,Ashe,Seraphine,Rakan,Nautilus
mCon esports,Myth Esports,14.01,Blue,Aatrox,K'Sante,Lee Sin,Nocturne,Neeko,Vex,Seraphine,Aphelios,Senna,Rell
NORD Esports,Verdant,14.01,Red,Ornn,Poppy,Bel'Veth,Xin Zhao,Akali,Ahri,Varus,Swain,Rell,Senna
Barça eSports,GIANTX Pride,14.01,Red,K'Sante,Kennen,Maokai,Xin Zhao,Akali,Orianna,Lucian,Varus,Milio,Nautilus
Once Upon A Team,ZennIT,14.01,Blue,Ornn,Jax,Xin Zhao,Nocturne,Akali,Neeko,Xayah,Aphelios,Nautilus,Rakan
Six Karma,All Knights,14.01,Red,Rumble,K'Sante,Vi,Viego,Taliyah,Azir,Ezreal,Varus,Ashe,Nautilus
Six Karma,All Knights,14.01,Red,Rumble,K'Sante,Jarvan IV,Bel'Veth,Hwei,Taliyah,Varus,Ashe,Nautilus,Braum
Isurus,Movistar R7,14.01,Red,Gnar,Jayce,Xin Zhao,Maokai,LeBlanc,Tristana,Aphelios,Draven,Rakan,Renata Glasc
Movistar R7,Isurus,14.01,Blue,K'Sante,Aatrox,Xin Zhao,Maokai,Corki,Yone,Ashe,Varus,Milio,Hwei
Dplus KIA Challengers,DRX Challengers,14.01,Red,Aatrox,K'Sante,Jarvan IV,Rell,Neeko,Hwei,Varus,Caitlyn,Nautilus,Ashe
